row_id,site,audio_id,seconds,birds,filename
7019_COR_5,COR,7019,5,nocall,7019_COR_20190904.ogg
7019_COR_10,COR,7019,10,nocall,7019_COR_20190904.ogg
7019_COR_15,COR,7019,15,nocall,7019_COR_20190904.ogg
7019_COR_20,COR,7019,20,nocall,7019_COR_20190904.ogg
7019_COR_25,COR,7019,25,nocall,7019_COR_20190904.ogg
7019_COR_30,COR,7019,30,nocall,7019_COR_20190904.ogg
7019_COR_35,COR,7019,35,nocall,7019_COR_20190904.ogg
7019_COR_40,COR,7019,40,nocall,7019_COR_20190904.ogg
7019_COR_45,COR,7019,45,nocall,7019_COR_20190904.ogg
7019_COR_50,COR,7019,50,nocall,7019_COR_20190904.ogg
7019_COR_55,COR,7019,55,nocall,7019_COR_20190904.ogg
7019_COR_60,COR,7019,60,nocall,7019_COR_20190904.ogg
7019_COR_65,COR,7019,65,nocall,7019_COR_20190904.ogg
7019_COR_70,COR,7019,70,nocall,7019_COR_20190904.ogg
7019_COR_75,COR,7019,75,nocall,7019_COR_20190904.ogg
7019_COR_80,COR,7019,80,nocall,7019_COR_20190904.ogg
7019_COR_85,COR,7019,85,nocall,7019_COR_20190904.ogg
7019_COR_90,COR,7019,90,nocall,7019_COR_20190904.ogg
7019_COR_95,COR,7019,95,nocall,7019_COR_20190904.ogg
7019_COR_100,COR,7019,100,nocall,7019_COR_20190904.ogg
7019_COR_105,COR,7019,105,nocall,7019_COR_20190904.ogg
7019_COR_110,COR,7019,110,nocall,7019_COR_20190904.ogg
7019_COR_115,COR,7019,115,nocall,7019_COR_20190904.ogg
7019_COR_120,COR,7019,120,nocall,7019_COR_20190904.ogg
7019_COR_125,COR,7019,125,nocall,7019_COR_20190904.ogg
7019_COR_130,COR,7019,130,nocall,7019_COR_20190904.ogg
7019_COR_135,COR,7019,135,nocall,7019_COR_20190904.ogg
7019_COR_140,COR,7019,140,nocall,7019_COR_20190904.ogg
7019_COR_145,COR,7019,145,nocall,7019_COR_20190904.ogg
7019_COR_150,COR,7019,150,nocall,7019_COR_20190904.ogg
7019_COR_155,COR,7019,155,nocall,7019_COR_20190904.ogg
7019_COR_160,COR,7019,160,nocall,7019_COR_20190904.ogg
7019_COR_165,COR,7019,165,nocall,7019_COR_20190904.ogg
7019_COR_170,COR,7019,170,nocall,7019_COR_20190904.ogg
7019_COR_175,COR,7019,175,nocall,7019_COR_20190904.ogg
7019_COR_180,COR,7019,180,nocall,7019_COR_20190904.ogg
7019_COR_185,COR,7019,185,nocall,7019_COR_20190904.ogg
7019_COR_190,COR,7019,190,nocall,7019_COR_20190904.ogg
7019_COR_195,COR,7019,195,nocall,7019_COR_20190904.ogg
7019_COR_200,COR,7019,200,nocall,7019_COR_20190904.ogg
7019_COR_205,COR,7019,205,nocall,7019_COR_20190904.ogg
7019_COR_210,COR,7019,210,nocall,7019_COR_20190904.ogg
7019_COR_215,COR,7019,215,nocall,7019_COR_20190904.ogg
7019_COR_220,COR,7019,220,nocall,7019_COR_20190904.ogg
7019_COR_225,COR,7019,225,nocall,7019_COR_20190904.ogg
7019_COR_230,COR,7019,230,nocall,7019_COR_20190904.ogg
7019_COR_235,COR,7019,235,nocall,7019_COR_20190904.ogg
7019_COR_240,COR,7019,240,nocall,7019_COR_20190904.ogg
7019_COR_245,COR,7019,245,nocall,7019_COR_20190904.ogg
7019_COR_250,COR,7019,250,nocall,7019_COR_20190904.ogg
7019_COR_255,COR,7019,255,nocall,7019_COR_20190904.ogg
7019_COR_260,COR,7019,260,nocall,7019_COR_20190904.ogg
7019_COR_265,COR,7019,265,nocall,7019_COR_20190904.ogg
7019_COR_270,COR,7019,270,nocall,7019_COR_20190904.ogg
7019_COR_275,COR,7019,275,nocall,7019_COR_20190904.ogg
7019_COR_280,COR,7019,280,nocall,7019_COR_20190904.ogg
7019_COR_285,COR,7019,285,nocall,7019_COR_20190904.ogg
7019_COR_290,COR,7019,290,nocall,7019_COR_20190904.ogg
7019_COR_295,COR,7019,295,nocall,7019_COR_20190904.ogg
7019_COR_300,COR,7019,300,nocall,7019_COR_20190904.ogg
7019_COR_305,COR,7019,305,nocall,7019_COR_20190904.ogg
7019_COR_310,COR,7019,310,nocall,7019_COR_20190904.ogg
7019_COR_315,COR,7019,315,nocall,7019_COR_20190904.ogg
7019_COR_320,COR,7019,320,nocall,7019_COR_20190904.ogg
7019_COR_325,COR,7019,325,nocall,7019_COR_20190904.ogg
7019_COR_330,COR,7019,330,nocall,7019_COR_20190904.ogg
7019_COR_335,COR,7019,335,nocall,7019_COR_20190904.ogg
7019_COR_340,COR,7019,340,nocall,7019_COR_20190904.ogg
7019_COR_345,COR,7019,345,nocall,7019_COR_20190904.ogg
7019_COR_350,COR,7019,350,nocall,7019_COR_20190904.ogg
7019_COR_355,COR,7019,355,nocall,7019_COR_20190904.ogg
7019_COR_360,COR,7019,360,nocall,7019_COR_20190904.ogg
7019_COR_365,COR,7019,365,nocall,7019_COR_20190904.ogg
7019_COR_370,COR,7019,370,nocall,7019_COR_20190904.ogg
7019_COR_375,COR,7019,375,nocall,7019_COR_20190904.ogg
7019_COR_380,COR,7019,380,nocall,7019_COR_20190904.ogg
7019_COR_385,COR,7019,385,nocall,7019_COR_20190904.ogg
7019_COR_390,COR,7019,390,nocall,7019_COR_20190904.ogg
7019_COR_395,COR,7019,395,nocall,7019_COR_20190904.ogg
7019_COR_400,COR,7019,400,nocall,7019_COR_20190904.ogg
7019_COR_405,COR,7019,405,nocall,7019_COR_20190904.ogg
7019_COR_410,COR,7019,410,nocall,7019_COR_20190904.ogg
7019_COR_415,COR,7019,415,nocall,7019_COR_20190904.ogg
7019_COR_420,COR,7019,420,nocall,7019_COR_20190904.ogg
7019_COR_425,COR,7019,425,nocall,7019_COR_20190904.ogg
7019_COR_430,COR,7019,430,nocall,7019_COR_20190904.ogg
7019_COR_435,COR,7019,435,nocall,7019_COR_20190904.ogg
7019_COR_440,COR,7019,440,nocall,7019_COR_20190904.ogg
7019_COR_445,COR,7019,445,nocall,7019_COR_20190904.ogg
7019_COR_450,COR,7019,450,nocall,7019_COR_20190904.ogg
7019_COR_455,COR,7019,455,nocall,7019_COR_20190904.ogg
7019_COR_460,COR,7019,460,nocall,7019_COR_20190904.ogg
7019_COR_465,COR,7019,465,nocall,7019_COR_20190904.ogg
7019_COR_470,COR,7019,470,nocall,7019_COR_20190904.ogg
7019_COR_475,COR,7019,475,nocall,7019_COR_20190904.ogg
7019_COR_480,COR,7019,480,nocall,7019_COR_20190904.ogg
7019_COR_485,COR,7019,485,nocall,7019_COR_20190904.ogg
7019_COR_490,COR,7019,490,nocall,7019_COR_20190904.ogg
7019_COR_495,COR,7019,495,nocall,7019_COR_20190904.ogg
7019_COR_500,COR,7019,500,nocall,7019_COR_20190904.ogg
7019_COR_505,COR,7019,505,nocall,7019_COR_20190904.ogg
7019_COR_510,COR,7019,510,nocall,7019_COR_20190904.ogg
7019_COR_515,COR,7019,515,nocall,7019_COR_20190904.ogg
7019_COR_520,COR,7019,520,nocall,7019_COR_20190904.ogg
7019_COR_525,COR,7019,525,nocall,7019_COR_20190904.ogg
7019_COR_530,COR,7019,530,nocall,7019_COR_20190904.ogg
7019_COR_535,COR,7019,535,nocall,7019_COR_20190904.ogg
7019_COR_540,COR,7019,540,nocall,7019_COR_20190904.ogg
7019_COR_545,COR,7019,545,nocall,7019_COR_20190904.ogg
